demography_model	sample_size_per_pop	msprime_seed	poolseq_depth	poolseq_seed	ploidy	max_log_likelihoodtheta	n_1_est	n_2_est	t_split_est	mig_rate_est	
two_pop_split	10	1	0	0	2	-469.4484697310768	2294.382406909061	59130.174959384756	42977.483048370836	397.28297170563593	2.1642209114915583e-06	
two_pop_split	10	2	0	0	2	-469.2863055904182	2270.205401436435	164236.37303633313	134799.09863010398	404.01410866502886	6.68243659488413e-07	
two_pop_split	10	3	0	0	2	-469.4231103191604	2328.0221019211176	190659.1274416815	142284.9215859612	491.65370292346296	2.3667669957965495e-06	
two_pop_split	50	3	0	0	2	-23014.068265427806	2030.2658066315832	99547.45002125062	117925.48567123231	94713.5655712443	2.5854570745846043e-06	
two_pop_split	50	2	0	0	2	-24803.70049952986	1571.6472558549917	133301.58540367257	94212.74619747009	141463.00651614642	2.3028625758523535e-06	
two_pop_split	50	1	0	0	2	-21868.113055231144	1603.6957145133847	137268.581101965	101826.05717945774	132208.8800975536	3.3337029487584096e-06	
two_pop_split	100	1	0	0	2	-32969.16918325744	1452.3735055200725	113053.36978990062	118635.82731140679	162432.20836755136	3.582385339002304e-06	
two_pop_split	100	2	0	0	2	-32524.870855210742	1428.6905378789943	121760.94306388254	108166.97135095236	163948.29417981274	3.7420866382145235e-06	
two_pop_split	100	3	0	0	2	-37820.70485849043	2851.641548585575	22235.14313575514	118669.58136747457	19097.20354126039	1.9408647812766367e-06	
two_pop_split	200	2	0	0	2	-45413.48214969695	2976.4327067220256	13667.439788164893	158495.69240135633	342570.0078884644	1.909037818853241e-07	
two_pop_split	200	1	0	0	2	-36816.50393055481	2796.681837252002	82735.69500582636	38135.44351007059	6810.274287287204	1.9530620682173034e-06	
two_pop_split	200	3	0	0	2	-37896.46859018269	2315.0683793656463	138730.08793031308	61130.85877755829	13246.705748941959	2.331555692753245e-06	
