demography_model 	sample_size_per_pop 	msprime_seed 	poolseq_depth 	poolseq_seed 	ploidy 	max_log_likelihoodtheta 	n_1_est 	n_2_est 	t_split_est 	mig_rate_est 	
two_pop_split	10	1	100	3	2	-2311.2357807999233	2266.6943811960064	91321.03666021216	167972.26859504436	2169.7391783279463	1.559354012424437e-06	
two_pop_split	10	1	10	1	2	-4576.796346887684	1588.9776517017663	96085.9785977186	114183.77410073762	25002.095315373637	1.2909096199674323e-07	
two_pop_split	10	1	100	2	2	-2318.112742136958	2290.673738818982	54827.75143296162	110739.1143325736	1496.6038110164757	2.505602879534253e-06	
two_pop_split	10	1	100	1	2	-2288.960391349837	2301.2028133626054	34973.6023954561	72107.85974709617	864.7555177761814	1.4271992082688893e-06	
two_pop_split	10	1	70	2	2	-2348.1893698609747	2224.783631564063	173776.4666055305	134068.61498665024	3302.0706204429407	1.979022999543857e-06	
two_pop_split	10	1	70	1	2	-6767.537056894054	1505.7009874077485	128453.53204273542	120268.53332900762	183610.3124832096	3.673293524864967e-06	
two_pop_split	10	1	10	3	2	-4478.711217366145	1788.5863740267407	78253.29674398465	61451.88133236592	25261.412616091606	3.2236725404627193e-06	
two_pop_split	10	1	10	2	2	-4271.1502236163	1882.049363380752	34554.81364923818	68507.80822653211	10216.495896344122	3.00750439966551e-06	
two_pop_split	10	1	40	3	2	-2391.3676857946257	2213.4346780402916	73889.347249308	92676.22731511755	3721.4968580633545	1.4994140682622e-07	
two_pop_split	10	2	100	1	2	-2292.6890712338254	2280.7505150782977	70910.98839749074	59780.394240491114	941.7320687508177	7.850186906848399e-07	
two_pop_split	10	2	100	2	2	-7431.731291381767	1472.2014748586728	112874.60522710756	120230.5568721051	240658.54453337027	3.6324332779606388e-06	
two_pop_split	10	1	40	2	2	-2378.6658719940037	2220.646524423463	48338.30104506795	81867.08191698493	3032.547105755493	1.3064590547094551e-06	
two_pop_split	10	1	40	1	2	-2390.9254708801845	2220.9851874624214	70581.1680081093	74391.90574689941	4257.884620204406	1.1887478263647703e-06	
two_pop_split	10	1	70	3	2	-2338.8824426487827	2314.7795376046392	22119.558674889304	24593.948877809682	608.2807084402046	1.9769007036917373e-06	
two_pop_split	10	2	10	2	2	-4006.276204911322	2060.9830555504623	32198.63160568871	30729.196610503197	11752.319580412746	5.555039294312596e-07	
two_pop_split	10	2	10	1	2	-4555.997271153447	1646.2481524106693	90610.77294251989	90686.04738269086	24254.188631167675	2.901266334878474e-06	
two_pop_split	10	2	40	2	2	-2375.1333242492683	2224.0477175300803	66783.83226609853	57203.23686354509	3129.0865238886877	2.079061802782924e-06	
two_pop_split	10	2	10	3	2	-4520.827774033288	1687.9372007327418	63124.2179642485	104916.82526057569	21881.267254439288	3.2805066282352906e-06	
two_pop_split	10	2	70	2	2	-2316.5219732526703	2283.8168343278976	36942.33102186559	42281.79483687349	849.6000862693716	2.3939968503303573e-06	
two_pop_split	10	2	100	3	2	-2290.952512841397	2266.859574887728	75826.24457156875	172669.5180715752	1097.676188154795	6.257183129398753e-07	
two_pop_split	10	2	70	3	2	-2316.4161228850226	2267.50260959622	74344.17673313584	66066.8490913034	1530.3880379044704	7.204213914650962e-07	
two_pop_split	10	2	40	1	2	-2342.989794806229	2264.7489647086927	25621.92516554771	31448.832378379084	1453.87267383051	2.408931342673605e-06	
two_pop_split	10	2	70	1	2	-2294.6048508863305	2269.607691917858	48091.66675907525	99459.2427498137	1265.1306128980798	1.5222147200909574e-06	
two_pop_split	10	3	100	1	2	-8489.272109663274	1725.441606450587	89806.23426907856	136084.54460521974	248482.40431726587	3.3011760419847534e-06	
two_pop_split	10	3	100	3	2	-7305.36856659675	2051.8002350617385	135309.92255643883	106954.36759344272	73100.6186349508	2.711005782932332e-06	
two_pop_split	10	3	70	1	2	-2335.6910468634724	2324.943683629724	106824.45543571445	63074.193366027124	1407.7816537530432	2.413930139464117e-06	
two_pop_split	10	3	10	1	2	-6064.047217557521	1438.9966580460143	79321.89980918038	95536.63117394573	144107.37244811136	3.247252330093585e-06	
two_pop_split	10	3	10	2	2	-4221.932561548606	1930.7663289566642	48050.970387306246	56042.93931781412	13852.842772007702	1.661924317341912e-06	
two_pop_split	10	3	40	3	2	-2406.550101062521	2271.1835358105177	79537.46864684626	52301.3962753041	2674.000560866103	2.4410453335482713e-06	
two_pop_split	10	3	100	2	2	-2346.0523855484494	2317.45995978874	192077.34516436473	181229.4255595525	885.9150477299031	1.2736696924688934e-06	
two_pop_split	10	3	10	3	2	-4121.010715000815	2096.278090827561	11907.039724910393	23873.518397140077	3756.6008686702658	2.7432353728721397e-06	
two_pop_split	10	3	40	1	2	-2392.2272692388574	2266.1891864178333	88846.35020723139	69141.63009052644	3603.780192863418	2.552465485158472e-06	
two_pop_split	10	3	70	2	2	-8077.377350599222	1721.2776768660033	128177.80688441993	93133.20392792359	256002.21472907043	3.3340351502642993e-06	
two_pop_split	10	3	70	3	2	-2383.2754129543173	2291.941510145516	158862.86886760461	174072.76826456364	1940.6262357875066	2.021161572070184e-06	
two_pop_split	10	3	40	2	2	-2565.0026357387997	2301.655126319652	20779.306138544813	167147.0258814827	2123.459352398293	1.689377714236818e-06	
two_pop_split	10	2	40	3	2	-2338.486634323009	2227.6981836547548	60516.1362051384	64509.23286396718	3379.663690510263	2.022904582337373e-06	
two_pop_split	50	2	10	1	2	-17018.76068107358	904.9855189400597	53935.30289221802	70209.28714396204	152653.53149022095	6.1670308000756006e-06	
two_pop_split	50	2	100	1	2	-5700.304360601909	2015.850377417351	122741.16205969168	107187.60196141875	2338.1237396193555	1.6931954223950243e-06	
two_pop_split	50	1	10	1	2	-14277.261292318582	1753.5577129513	33189.481260159824	35455.125699487304	14432.467376848164	8.172215818560283e-09	
two_pop_split	50	1	100	2	2	-5825.519832870071	2180.3910228085438	100635.2349293504	35847.00550828089	994.9992515761924	1.8160415557058115e-06	
two_pop_split	50	2	10	3	2	-15839.684884002374	1167.7688613839773	79226.89869052205	56983.7143824304	20644.256347925788	3.05779178976965e-06	
two_pop_split	50	1	10	3	2	-14925.557156928813	1550.682238850313	49196.39936876763	43072.79756916312	18020.64974642514	1.4353091583807265e-06	
two_pop_split	50	2	100	3	2	-5505.867719400429	2132.708266055912	55935.995127299735	40399.050745872766	813.9863490946504	4.003743949416657e-07	
two_pop_split	50	3	70	2	2	-6582.298084335198	1920.9136949774681	134991.1847622201	140119.7667417492	4038.5935689530015	2.80793443008325e-06	
two_pop_split	50	2	70	3	2	-6042.0634070619935	2047.8960785497447	55786.085499812085	64799.69083297393	2251.405511513683	2.2865320973983116e-06	
two_pop_split	50	1	70	1	2	-6181.91527378101	2205.712924560329	35604.85930116169	36331.02157872814	1512.6279437433461	1.2596108811819507e-06	
two_pop_split	50	3	40	3	2	-8793.687054036107	2076.91402453093	38939.61346512783	33329.39647625348	2246.445862508053	3.794272992375521e-07	
